storeId,totalPrice
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:18:26.748000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:28:43.979000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:28:45.048000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:29:34.244000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:34:35.734000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:34:36.292000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:36:47.047000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:37:16.099000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:47:20.038000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T10:52:08.117000
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:18:26.748000+09:00
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:28:43.979000+09:00
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:28:45.048000+09:00
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:29:34.244000+09:00
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:34:35.734000+09:00
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:34:36.292000+09:00
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:36:47.047000+09:00
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:37:16.099000+09:00
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:47:20.038000+09:00
ba17a32e-180a-4ba3-87ea-d2cb940f6ef2,7000,2025-09-11T19:52:08.117000+09:00
